,Должность,Компания,Город,Минимальная заработная плата,Максимальная заработная плата,Валюта,Описание вакансии,Требования к соискателю;
"17,Ведущий Python разработчик (удаленка),Apostro,Москва,8000,450000,[' USD'],Разрабатывать пайплайн для обработки большого количества исторических/риалтайм данных (100+ гигабайт). Пайплайн находит индикаторы будущих атак и считает десятки...,""Знание Python, Django и основных сопутствующих библиотек и фреймворков. Практический опыт работы построения пайплайнов для обработки больших объемов данных в...""";
"18,Python разработчик,Соловьев Игорь,Екатеринбург,100000,200000,[' руб.'],""Основной сферой деятельности будет написание торговой программы, работа с GUI, написание различных коннекторов к биржам через API интерфейс, торговых скриптов. "",Опыт разработки от года. - Опыт работы с API. - Желательно умение работать с SQL Alchemy и GUI. - Невероятным плюсом будет любой...";
"19,Python разработчик,Kvando Technologies,Брянск,25000,200000,[' руб.'],""Разработка web-проектов на Flask, Django. Разработка парсеров, чат-ботов."",""Уверенное знание Python. Умение писать читабельный и оптимальный код. Понимание принципов ООП. Знание основных паттернов программирования. Будет плюсом, если есть...""";
"20,Разработчик Python,Газпром нефть,Санкт-Петербург,Не указанн,Не указанн,Не указанно,""Создание имитационных моделей цепочки поставок нефти / нефтепродуктов, симуляция логистической сети, моделирование цепочки поставок от постановки задачи до достижения требуемых КПЭ..."",""Уверенное владения Python 3.8+ (PEP8, Pandas, NumPy, Matplotlib, lxml, venv, conda, jupyter). Понимание принципов проектирования архитектуры приложения...""";
"21,Преподаватель Python,Алабуга. Международная школа,Нижний Новгород,125000,Не указанн,[' руб.'],Программирование Python. Лабораторный химический анализ. Мехатроника и робототехника. BIM-проектирование. Электротехника. Автоматизированные системы управления. Микроэлектроника. Проведение занятий по направлению «Python...,""...примере Python и JavaScript. Приветствуется опыт создания паттернов проектирования, на примере паттерна MVC и WEB-Framework-а Django для Python. """;
"22,Программист Python,Парконика,Санкт-Петербург,90000,Не указанн,[' руб.'],""Интеграция с внешними сервисами (системами, ПО), в рамках требований ТЗ. Интеграция в систему новых устройств, написание логики работы. "",""Понимание принципов событийно-ориентированного программирования. Опыт работы с очередями, потоками. Понимание принципов работы сетей/связки сервер-клиент. Работа с протоколами...""";
"23,Ведущий Python Backend разработчик,ООО МКК Всегда в плюсе,Алматы,5000,Не указанн,[' USD'],Разработка бэкенда внешних (B2C) и внутренних ИТ-продуктов и сервисов компании на Python. Участие в разработке продуктов с...,""Отличные знания современных протоколов Веба (HTTP, Websockets). Отличные знания Python, включая асинхронный Python и фреймворки на его основе: FastAPI, aiohttp...""";
"24,""Разработчик Python, Django"",ООО МК ЭЛЕКТРО,Челябинск,100000,Не указанн,[' руб.'],""формирование СЕО заголовков, СЕО описаний, расчёт цен по алгоритмам и т.д.) работает на Ubuntu + Python. - Backend на DRF..."",""Знание Python (>=3.8). - Умение работать с многопоточностью/асинхронностью (asyncio, multiprocessing, multitheading). - Умение работать с очередями: Celery, Redis. - """;
"25,Python Developer,ТОО Казах Софт Девелопмент,Астана,Не указанн,Не указанн,Не указанно,Сборка новых образов Apache Superset. Разработка REST и SOAP API.,""Высшее техническое образование. Знание языков Python/JS(Flask, React). Опыт программирования на языке Python от 2-х лет, наличие выполненных...""";
26,Python / JavaScript разработчик веб-приложений (Fullstack),ООО Инфо Про,Москва,80000,120000,[' руб.'],Идет набор в команду разработчиков в долгосрочный проект в области визуализации данных. Проект также включает в себя веб-сервисы по...,Требования к соискателю не указанны;
"27,Python Middle Developer,RapidRenderFarm,Москва,100000,150000,[' руб.'],Разработка клиентской части проектов компании (демоны с возможностью вызова графического интерфейса). Написание тестов и документации при необходимости (на это укажет...,""Высшее техническое образование. Python3, Flask, Django, PyQt, boto3. Хорошая алгоритмическая база. Желателен опыт работы с s3.""";
"28,Ведущий Python Backend разработчик,ООО МКК Всегда в плюсе,Минск,5000,150000,[' USD'],Разработка бэкенда внешних (B2C) и внутренних ИТ-продуктов и сервисов компании на Python. Участие в разработке продуктов с...,""Отличные знания современных протоколов Веба (HTTP, Websockets). Отличные знания Python, включая асинхронный Python и фреймворки на его основе: FastAPI, aiohttp...""";
"29,Разработчик Python,Эттон,Казань,120000,150000,[' руб.'],Разработка ПО (написание программного кода).,""Python, Django ( 3-лет), DRF (Django Rest framework), celery, rabbitmq, redis, postgresql. Git/CI. Знание ООП, Solid, REST. """;
30,Программист Python,ООО Датаджайл,Санкт-Петербург,Не указанн,Не указанн,Не указанно,Проект - SafeERP Pentest. Разработка ПО предназначенного для автоматизированного тестирования информационных систем на проникновение. Задачи: Разработка автоматизированных пентестов. Сбор статистики и...,Опыт работы с Python 3.9. Фреймворк Django/Flask. Опыт работы с Linux. Опыт работы с SQL базами данных (желательно...;
"31,Python разработчик веб-приложений (Backend),ООО Инфо Про,Москва,80000,120000,[' руб.'],Backend разработка веб-приложений (Django/аналоги) для агрегации и обработки данных. Включают функции автоматической разметки данных и структур источника. ,""Опыт решения вышеуказанных задач. Хороший уровень Python 3.6 (и выше), опыт коммерческой разработки от 1 года. Знание основ HTML...""";
"32,Python Developer по работе с ChatGPT (генеративным AI),Welltory,Москва,Не указанн,Не указанн,Не указанно,Описание отсутствует,""Очень приветствуем опыт работы с No-Code системами (Zapier, Integromat). Другими преимуществами станут: опыт работы с ботами в Telegram, Slack...""";
33,Программист Python - FastAPI / Backend Developer,Digital агентство Piarme,Минск,180000,Не указанн,[' руб.'],Разработка проекта.,Необходимые навыки: Уверенные знания и опыт работы: с python и с асинхронным фреймворком FastAPI. Опыт работы с SQL. ;
"34,Программист Python+Django,ИП Филиппов Владислав Валерьевич,Сергиев Посад,25000,Не указанн,[' руб.'],Разработка системы аналитики и планирования с нуля. Доработка и поддержка.,""Опыт создания веб-приложений на Python+Django от 2 лет, наличие портфолио. Опыт работы с внешними информационными системами по API.""";
"35,Python Developer,ООО КомплИТех,Минск,Не указанн,Не указанн,Не указанно,""Разрабатывать новые серверные приложения, поддерживать и оптимизировать существующие сервисы. Разрабатывать интеграционные модули для существующего программного продукта с использование сторонних сервисов..."",Хорошие знания Python и опыт коммерческой разработки на нем не менее 1 года. Опыт работы с фреймворком для написания веб...";
"36,""Аналитик/Эксперт для проведения практических уроков по Excel, SQL, Python (удаленно)"",ООО УК Академия Будущего,Москва,Не указанн,Не указанн,Не указанно,""Excel. Работа с хранилищами, популярными базами данных. Аналитика данных в SQL. Аналитика данных в Python."",Опыт анализа данных в Excel/SQL/Python. Умение грамотно излагать свои мысли. Отличное владение ПК. Уровень владения Excel/SQL/Python...";
"37,Python разработчик (Django),Stik,""Санкт-Петербург, Владимирская и еще 2 "",40000,60000,[' руб.'],Опыть работы с PostgreSQL.,""Основные технологии проектов: Python3, Django3, DRF, PostgreSQL. Знание HTML, CSS, JavaScript на базовом уровне. Уметь написать и отлогировать...""";
"38,Python Developer,ООО РАВВИ,""Санкт-Петербург, Ладожская и еще 2 "",180000,60000,[' руб.'],""Разработка алгоритмов для бота, выполняющего действия UI кликера. Поиск и распознавание объектов в видеопотоке и использование многопоточности(multithreading) для ускорения..."",""Опыт работы разработчиком от 3х лет. Опыт работы связанный с распознаванием образов, машинном обучении, использование opencv или TensorFlow или...""";
"39,Программист Python,Enjoypro,Москва,240000,60000,[' руб.'],""Разработка и поддержка программных продуктов компании. Участие в проектировании архитектуры решений, концепций интеграций с внешними системами. Знакомиться и внедрять новейшие..."",""Опыт работы в должности Python разработчика от 3 лет. Знание веб-фреймворков fastapi, aiohttp. Знание современных веб технологий. """;
40,Программист Python,ООО Датаджайл,Санкт-Петербург,Не указанн,Не указанн,Не указанно,Проект - SafeERP Pentest. Разработка ПО предназначенного для автоматизированного тестирования информационных систем на проникновение. Задачи: Разработка автоматизированных пентестов. Сбор статистики и...,Опыт работы с Python 3.9. Фреймворк Django/Flask. Опыт работы с Linux. Опыт работы с SQL базами данных (желательно...;
"41,Data Engineer,Truv Inc.,Сербия,5000,6000,[' USD'],Development of new ETL pipelines. Support ETL pipelines. Support infrastructure related to Data team.,""Experience with cloud providers, preferably AWS. Proficient at both SQL and Python. Experience with building and maintaining data pipelines, ensuring...""";
"42,Python Team Lead,Кадровое Агентство Averina.agency,Новосибирск,250000,400000,[' руб.'],""Организация процессов нескольких команд. Разработка и внедрение лучших практик разработки. Участие в разработке архитектурных решений. Планирование работы по проектам, расстановка..."",""Высшее образование. Знание английского языка. Опыт python-разработчик, python team lead. Python, django, mysql, celery, rabbitmq. Умение договариваться. Системность.""";
"43,Middle разработчик Python / Django,ООО РА Дельта,Москва,60000,140000,[' руб.'],Выверенный годами баланс между дисциплиной и свободой.,""Необходимые навыки: Уверенно владеть Python 3, понимать отличия от Python 2. Иметь опыт работы с Django и Flask в production. """;
"44,АККРЕДИТОВАННАЯ КОМПАНИЯ Data Scientist / Python разработчик,ЗАЗЕКС,Ростов-на-Дону,Не указанн,Не указанн,Не указанно,""Мы предоставляем услуги web-разработки, мобильной разработки, десктопной разработки, разработки в области data science, проектирования, тестирования и создания графического дизайна. - "",""Знания и опыт разработки Python. Опыт работы с различными научными и специализированными пакетами (numpy, scipy, matplotlib, pandas, TensorFlow и т...""";
"45,Middle+ Python backend developer Департамента развития корпоративных систем,""Bank RBK, АО"",""Алматы, Абая"",Не указанн,Не указанн,Не указанно,""Разработка и поддержка backend онлайн-банкинга. Написание чистого, поддерживаемого и эффективного кода с использованием фреймворков Django и/или FastAPI. "",Опыт работы в разработке программного обеспечения на Python от 3 лет. Уверенное понимание веб-фреймворков Django и/или FastAPI. ";
"46,Программист-стажер GO / Go Intern (Telecom),YADRO,""Санкт-Петербург, Площадь Ленина"",Не указанн,Не указанн,Не указанно,Совместно с командой предстоит заниматься разработкой программного обеспечения базовой станции. Разработка системы управления и мониторинга сетевых элементов. Улучшение и оптимизация...,""Знание Linux. Знание скриптовых языков (Python, Shell, Perl, LUA, etc.). Общие знания мобильных телекоммуникационных систем GSM/LTE/5G. """;
"47,Разработчик Python,Газпром нефть,Санкт-Петербург,Не указанн,Не указанн,Не указанно,""Создание имитационных моделей цепочки поставок нефти / нефтепродуктов, симуляция логистической сети, моделирование цепочки поставок от постановки задачи до достижения требуемых КПЭ..."",""Уверенное владения Python 3.8+ (PEP8, Pandas, NumPy, Matplotlib, lxml, venv, conda, jupyter). Понимание принципов проектирования архитектуры приложения...""";
"48,Data Scientist (Middle+),DIGINETICA,Москва,170000,240000,[' руб.'],Разрабатывать модели схожести запросов и товаров. Разрабатывать модели ранжирования. Разрабатывать модели исправления опечаток. Дорабатывать сервис метрик и производить анализ метрик. ,""Что нужно уметь : Уметь писать готовый к production код (Python). Иметь математический бекграунд (профильное техническое/математическое образование, хорошее понимание мат.статистики...""";
