,Должность,Компания,Город,Минимальная заработная плата,Максимальная заработная плата,Валюта,Описание вакансии,Требования к соискателю;
"179,Data analyst,ООО Payme (СП ООО Inspired),Ташкент,Не указанн,Не указанн,Не указанно,Составление и ведение бизнес отчетностей. Выгрузка различных агрегированных данных из базы данных по ad-hoc запросам. Работа над визуализацией отчетностей. ,""Умение разбираться в бизнес-процессах. Знание Microsoft Excel, Power point. Обязательное знание PostgreSQL. Microsoft PowerBI. Приветствуются навыки в Python или...""";
"180,Data Analyst,ООО Виэйинтеллидженс,Алматы,Не указанн,Не указанн,Не указанно,""Проведение аналитических исследований, поиск инсайтов. Построение дашбордов в BI системе (пока что используем Holistic, но плавно переезжаем на Tableau). "",""Знание SQL (фильтрация, сортировка, виды джойнов, подзапросы, оптимизация запросов). Хорошее знание Python (Pandas, Numpy, SciPy, Seaborn/Matplotlib/Plotly, желательно Sklearn...""";
"181,Python Web Developer,ООО ИНВЕСТСТРОЙ,""Екатеринбург, Геологическая и еще 1 "",Не указанн,Не указанн,Не указанно,Разбираешься в базах данных. Можешь разобраться с требованиями и придумать решение без посторонней помощи.,""Разбираешься в алгоритмах и структурах данных. Будет плюсом: Есть опыт работы с облачными провайдерами (Яндекс облако - идеально, AWS- хорошо). """;
"182,Системный аналитик,Scalaxi,Москва,180000,Не указанн,[' руб.'],Сбор требований у отдела внедрения и продакта и описание их для разработчиков платформы. Описание технической документации по продукту для разработчиклв...,""Представление о back end. Опьт работы с БД SQL. Плюсом будет опыт работы на Python, C#. Умение читать логи. """;
"183,Backend программист Python,ООО Пазл Продакшн,Москва,70000,140000,[' руб.'],Backend разработка. Написание API для мобильных приложений.,""Опыт веб-программирования на php от 3-х лет. Python Junior, Middle. Gitlab. FastApi Python MySQL Высоконагруженные системы FireBase. """;
"184,ML-Researcher (NLP),МФТИ ГУ,Москва,170000,210000,[' руб.'],""Сбора и анализа информации о событиях, оценка их причин и последствий, анализ событий, угроз и выработка решений по минимизации факторов..."",""Умеет писать читаемый и поддерживаемый код на языке программирования Python, знание базовых библиотек работы с данными и визуализации. """;
"185,Junior C++ разработчик алгоритмов геометрического моделирования,Ледас,Новосибирск,40000,70000,[' руб.'],Программист на языке C++ для разработки и реализации алгоритмов вычислительной геометрии моделирования 3D тел в машиностроении и архитектуре и...,""В качестве кандидатов мы готовы рассмотреть также студентов без опыта работы в промышленной разработке ПО, имеющих хорошую математическую подготовку и...""";
"186,""Аналитик корпоративных массивов данных (с навыками в Data Science, Machine Learning)"",ЭкспрессДеньги,""Москва, Выставочная и еще 2 "",Не указанн,Не указанн,Не указанно,""Взаимодействовать с бизнес-подразделениями: участвовать в сборе требований, выявлять проблемы и предлагать решения. Выявлять ценные источники данных и автоматизировать процессы..."",""Знание Python / других применимых языков программирования. Высшее математическое / экономическое / финансовое / образование. Опыт работы с Data Science, Machine Learning, корпоративной аналитикой. """;
"187,Python разработчик,InHouseAd,Брянск,Не указанн,Не указанн,Не указанно,""Написание асинхронных запросов в БД и к различным API партнеров. Планирование задач, операции в реальном времени. Что надо будет делать. "",""Django 4+/DRF. Отличные знания Django/DRF для разработки системы управления рекламной сетью, отображения статистики, разработки API для клиентов. """;
"188,Machine Learning Engineer,ТРТ,Баку,4000,8000,[' USD'],Google Cloud Natural Language Processing. Text Classification. Entity Extraction. Tag Extraction: Transformers (deep learning). State-of-the-art NLP models. ,""Tensorflow, PyTorch. Strong knowledge of Python (Jupyter notebooks are not enough) so that you can build and deploy pipelines with...""";
"189,Менеджер проектов со знанием Python,ООО Рокет Проджект,Санкт-Петербург,30000,50000,[' руб.'],""Писать интерфейсы, инструкций, обучающие задания на крауд площадках. Проведение обучения и повышения навыков команды валидаторов. Сопровождение текущих клиентов компании. "",""У тебя есть опыт составления инструкций или технических заданий. Владеешь Python на среднем уровне: умеешь писать скрипты, пользоваться Jupyter Notebook...""";
190,Педагог дополнительного образования (программирование на Python),Региональный центр технического творчества Челябинской области,Кыштым,Не указанн,Не указанн,Не указанно,Проведение групповых занятий с детьми 12-18 лет (группы до 12 человек). Ведение отчетной документации. Помощь в организации детских мероприятий...,Уверенное знания языка и библиотек Python. Базовые знания HTML. CSS. JavaScript. Наличие профильного высшего образования (также допускаем приём на работу...;
"191,TechLead (Python),""Лента, федеральная розничная сеть, IT "",Москва,Не указанн,Не указанн,Не указанно,""На текущий момент над его развитием работает продуктовая команда из 20+ специалистов. Основной стек: Python 3, FastAPI, PostgreSQL, ClickHouse..."",""Senior+ уровень компетенций как Python-разработчика, хорошее знание БД, базовое знание принципов фронтенд-разработки. Умеренный перфекционизм. Супер-внимательность к требованиям...""";
"192,Python Web Scraping / Telegram Bot Developer,ИП Ильина Александра Викторовна,Уфа,40000,Не указанн,[' руб.'],""Создать учебную программу. Придумать кейсы учебных проектов по парсингу и написанию ботов,продумать структуру, придумать бизнес задачи,которое эти pet..."",""Опыт в разработке от 2 лет. Опыт работы с Python 3, aiogram, RabbitMQ, SQL, BeautifulSoup. Прекрасное владение Telegram Bot API...""";
"193,Программист,ООО ВАЙФАЙНДЕР,Москва,100000,Не указанн,[' руб.'],""Разработка backend части, язык программирования Python/C++/ Java. Интеграция различных устройств на одно ПО. Поддержка мобильного приложения."",""Опыт разработки приложения на Angular/Typescript. Знание Git, php, docker, SQL, html/css и другие. Умение разбираться в чужом коде. """;
"194,Разработчик Python midlle,""ГРЧЦ, ФГУП"",""Москва, Павелецкая"",Не указанн,Не указанн,Не указанно,Разрабатывать внутренние web-сервисы на Python. Взаимодействие в команде по разработке ПО (Scrum). Разрабатывать удобные инструменты управления платформой (системы генерации...,Общий опыт работы в должности Back-end разработчика от 1 года. Хорошие знания Python 3. Знание одного из веб-фреймворков...";
"195,Python-разработчик,URSiP,""Москва, Белорусская и еще 1 "",Не указанн,Не указанн,Не указанно,""Разрабатывать бэк-энд части приложений на Python Django, интегрированными между собой и с внешними сервисами. Разрабатывать системы на PostgreSQL. "",""Python Django, FastApi. PostgreSQL. Владение VCS Git. Понимание и применение принципов и практик чистого кода. Kafka, RabbitMQ. Event-driven подхода. """;
"196,Python Team Lead,ЧУ ДО Московская школа программистов,""Москва, Ботанический сад и еще 1 "",Не указанн,Не указанн,Не указанно,""Общаться с внутренними заказчиками, выявлять ошибки и заказы на новую разработки, заказы – передавать менеджерам продукта, участвовать в формализации задач, добиваться..."",...в идеале и технический). Знание стандарта SWEBOK. Знание принципов бережливого проектирования ПО. Знание методологии RUP. Опыт разработки на Python/Go.";
"197,Team Lead (Python),Яндекс,Новосибирск,Не указанн,Не указанн,Не указанно,""Работать с командой: проводить интервью, нанимать и помогать новым сотрудникам с адаптацией, ставить личные цели и развивать разработчиков, делать перформанс..."",""Знаете Python и Linux. Хорошо понимаете веб-разработку, развертывание сервисов в облаках, понимаете, что такое HTTP, балансировка, мониторинги и системные...""";
"198,Разработчик баз данных (PostgreSQL),LOGISTIX,""Москва, Перово"",Не указанн,Не указанн,Не указанно,Создание и изменение отчетов FastReport. Программирование на Python (PL/Python). Работа с pgAdmin и pgAgent. Участие в разработке/сопровождении систем...,""Умение разрабатывать функции, процедуры, триггеры в среде PostgreSQL как минимум на PL/pgSQL. Умение разбирать планы запросов и формировать необходимые...""";
"199,DevOps engineer/Системный администратор,ООО Ярус,""Москва, Автозаводская и еще 1 "",150000,350000,[' руб.'],""Навыки взаимодействия с командами разработки, помощь в организации разработки для работы в облачных инфраструктурах."",Знание принципов построения облачных платформ (Rancher\k8s\k3s\openstack). – Навыки программирования на Python\Go. – ";
"200,Инженер-программист,ООО Вумени,Нижний Новгород,150000,350000,[' руб.'],""Разворачивать blockchain ноды, согласно технической документации. - Писать скрипты для упрощения развертывания нод. - Мониторить состояние нод. - Управлять мощностями серверов в зависимости..."",Опыт работы с системами мониторинга. - Docker/Kubernetes. - Опыт в написании скриптов (bash или python). - Опыт автоматизации развертывания. - Знание английского языка...";
"201,Server Programmer (Python),Lesta Games,""Санкт-Петербург, Ладожская"",Не указанн,Не указанн,Не указанно,""Созданием и развитием технологий, позволяющих играть друг с другом людям из разных уголков мира с минимальными пингами. Созданием и поддержкой..."",""Знание языков Python, С/С++. Наличие опыта в разработке асинхронных систем и/или в разработке высоконагруженных систем с высокой надежностью. """;
"202,Software Engineer in Test (Python),Lesta Games,Минск,Не указанн,Не указанн,Не указанно,""Поддержка и разработка тестового фреймворка, веб портала автоматизации и автотестов."",""Опыт работы с JavaScript, Django, React.""";
"203,Middle DevOps-инженер,ООО МШП,Москва,200000,240000,[' руб.'],""Внедрять K8s, мигрировать сервисы в новый оркестратор. Поддерживать и развивать облачную инфраструктуру сервисов. Развивать конвейер CI/CD. "",Что нужно уметь: Знакомство с СТО.";
"204,Backend разработчик Middle / Senior,ООО БОТТО,Москва,200000,240000,[' руб.'],Описание отсутствует,""Хорошее знание одного или нескольких языков программирования (Lua, Python, C++,). Умение работать с clickhouse, RethinkDB (важно). Умение работать с унаследованным...""";
"205,Data Scientist,ООО Клевер Солюшнс,""Санкт-Петербург, Бухарестская"",Не указанн,Не указанн,Не указанно,Сбор данных из различных источников. Очистка и предподготовка данных. Исследовательский анализ данных. Feature engineering. Разработка мат. моделей. Оценка качества моделей. ,""Python 3. SQL. Python пакеты для DS (Sklearn, matplotlib, numpy, pandas, sci-py, statmodels, keras). Tensorflow. Умеренный уровень знания Мат. """;
"206,Python-разработчик,Сбер. IT,Москва,Не указанн,Не указанн,Не указанно,""Разработка архитектуры нового продукта без груза legacy. Интеграция с различными системами внутри банка: rest, брокеры сообщений, очереди. Постоянное добавление новых..."",""Опыт работы с Python от 3 лет. Опыт работы с Django, FastAPI, SQL Alchemy. Практика создания unit тестов и документирования...""";
"207,Инженер инфраструктуры / DevOps / SRE,Баззула Интернет Технологии,Москва,200000,250000,[' руб.'],""Мониторинг: Grafana, InfluxDB. — Автоматизировать: писать IaC-код для разворачивания, изменения и прочих операций. — Настраивать всевозможные программные компоненты, от ОС до..."",""Ориентирование в устройстве Linux, протоколов, распределённых систем. — Уверенное владение Python (обсуждаемо), основы SQL. — Аналитическое и системное мышление. Стремление к простоте...""";
"208,Инженер-программист,ООО НПП Геотек,Пенза,Не указанн,Не указанн,Не указанно,""Писать на языке Python: разработка и интеграция математических модулей-решателей, в том числе с использованием готовых прикладных библиотек обработки данных. "",""Знания линейной алгебры, системы дифференциальных и интегральных уравнений, трехмерной визуализации данных средствами библиотек Python. Опыт разработки прикладного ПО, знание Python...""";
"209,Data Engineer,АО Народный банк Казахстана,Алматы,Не указанн,Не указанн,Не указанно,""Разработка, поддержка и оптимизация ETL/ELT процессов на Informatica PC, DEI. Разработка и поддержка витрин данных в интересах аналитиков/datascience. "",Требования к соискателю не указанны";
210,Team Lead Python backend (удаленно),Франчайзинговая розничная сеть Галамарт,Москва,Не указанн,Не указанн,Не указанно,СТЕК: Управление высокоэффективной командой backend из 4-5 разработчиков на Python. Трекинг задач для команды (Jira). Проведение Code-review (Gitlab). ,API JSON-RPC 2.0. Техническое образование. Опыт разработки Back от 5 лет. Опыт в должности Team Lead от 2...;
"211,Ментор (лектор) курса по Python-разработке,Skyeng,Москва,30000,50000,[' руб.'],""Отвечает на вопросы учеников по материалам уроков на нашей платформе и на онлайн-мероприятиях. Создает инструкции и шаблоны, чтобы оптимизировать..."",Есть опыт работы Python разработчиком. Есть опыт работы с фреймворками Django и Flask. Есть опыт работы на Linux и с...";
"212,Middle+/Senior Backend Developer (Python),ООО Платформа Сейлз Чейн,Москва,Не указанн,Не указанн,Не указанно,""Разрабатывать новые микросервисы и поддерживать существующие. - Улучшать кодовую базу. - Git Flow с понятными и полезными правилами. - Devops: Kubernetes, Docker, Gitlab..."",Имеешь опыт работы от 3-х лет (уровень Upper Middle или Senior). - Обладаешь обширными знаниями Django. - Имеешь успешный опыт взаимодействия...";
"213,Data-аналитик,""билайн: ИТ, Data, Digital"",""Москва, Новослободская"",Не указанн,Не указанн,Не указанно,""Анализ данных по показателям бизнеса розничной сети. Поиск инсайтов, разработка алгоритмов системного выявления отклонений в деятельности сотрудников и партнеров компании. "",Опыт работы аналитиком данных от 2 лет. Уверенное использование SQL и Python.";
"214,Программист,""Евразия-Экспресс,ООО"",""Санкт-Петербург, Пушкинская"",Не указанн,Не указанн,Не указанно,Развитие и поддержание работы внутренних веб-проектов. Разработка и поддержка веб-сайтов компании. Рефакторинг и оптимизация существующего функционала. ,""Высшее образование. Уверенные знания PHP, Python (Django), SQL (Postgres), javascript. Умение работать с системой контроля версий git. Базовые знания HTML...""";
"215,Инженер по автоматизации (Go/Python/Java),Центр финансовых технологий,""Новосибирск, Октябрьская"",Не указанн,Не указанн,Не указанно,""Организация, автоматизация и поддержка процессов, связанных с разработкой и тестированием ПО, построенного на CFT-Platform и Microservice архитектурах. "",Junior/middle знания Go или Java/Python. Опыт системного администрирования OS Linux. Опыт работы DevOps-инженером. Опыт построения и администрирования...";
"216,Аналитик данных Python и VBA (HR),ПАО Ростелеком,Москва,Не указанн,Не указанн,Не указанно,Разработка и автоматизация моделей по оценке рынка труда и мотивации. Перевод модель с Power Query на модель Python. ,""...Python (numpy, pandas, matplotlib, scipy). Знания принципов ООП. Знание VBA. Опыт написания кодов в классах. Обязательный опыт работы c Python...""";
"217,ML-аналитик,ООО АйтиСФ,""Новосибирск, Площадь Ленина"",Не указанн,Не указанн,Не указанно,Нахождение аномалии в данных и исследование причин. Участие в разработке ML моделей для улучшения целевых показателей (настройка скоринга). ,Наличие опыта работы с ML-моделями или пройденные курсы data science / machine learning будет плюсом. Владение Python (библиотеки для работы...";
"218,QA Automation Python,Aston,Гомель,Не указанн,Не указанн,Не указанно,""Писать автоматизированные тесты с помощью Pytest. Автоматизировать задачи обслуживания распределенного кластера, выявлять и устранять неполадки (Linux). Автоматизировать задачи, связанные с..."",""Опыт работы в роли QA Automation Python от 2-х лет. Знание Bash, Python 3. Знание Pytest, процессов CI/CD. """;
"219,Разработчик ИСУ (SQL/Python),Сбер для экспертов,Омск,66000,Не указанн,[' руб.'],Анализ данных (выявление ошибок в работе специалистов контактных центров Сбербанка). Ad hoc аналитика по запросам. Разработка отклонений для ИСУ.,""Хорошее знание SQL. Знание Python и основных библиотек для анализа данных (numpy, pandas и др.), желательно machine learning, data analysis. """;
"220,Backend-разработчик на Python,KALABI,""Москва, Красные ворота и еще 3 "",180000,Не указанн,[' руб.'],""Выполнять функциональные доработки для крупных заказчиков, у которых внедрена система. Развивать SDK на Python для создания адаптеров, которые разрабатывают вендоры..."",Знание языка Python 3 и сопутствующей экосистемы (мы используем Flask). Опыт работы с очередями или брокерами сообщений и СУБД (используем...";
"221,Data Engineer (Middle),DNS Технологии,Владивосток,100000,Не указанн,[' руб.'],""Автоматизировать ручную работу сотрудников, исследовать данные. Разрабатывать парсеры, сводить данные для последующей обработки. Разворачивать и поддерживать API, аналитические системы, системы..."",""Обладает знаниями Python 3.9+, Pandas и SQLAlchemy. Знает Flask и языки запросов Postgresql, Sql server и Greenplum. """;
"222,Системный администратор Linux (Казань),ООО Колл-Тулз,""Казань, Площадь Тукая и еще 1 "",180000,Не указанн,[' руб.'],""Администрирование Linux-серверов (bare-metal и ВМ): у нас своё железо (серверы и сетевое) в ЦОД, немного пользуемся и облачными..."",""Уметь писать SQL запросы. Уметь писать код на Bash, Python. Опционально Lua, Golang. Базовый git. Опыт работы с: Docker. Postgresql. """;
"223,Аналитик-разработчик в качество Геопоиска,Яндекс,Москва,Не указанн,Не указанн,Не указанно,""Улучшать процесс выявления факта, посетил ли организацию пользователь. Проводить А/В-тесты и строить метрики. Собирать у пользователей фотографии и..."",Свободно владеете SQL. Пишете на Python. Знаете тервер и статистику. Умеете видеть за числами физический смысл и находить причины явлений. ";
"224,Senior Python Developer,АО НИИ МАСШТАБ,Санкт-Петербург,180000,Не указанн,[' руб.'],""Разработка серверных систем и сервисных приложений на языке python. Работа с протоколами передачи данных. Архитектурное планирование. Парсеризация. Автоматизация сборок, тестирования..."",""Опыт работы с одним или нескольким python web framework: django, flask, bottle. pyramid. etc). Опыт работы с базами данных, контейнеризацией...""";
"225,Программист-разработчик нейронных сетей,ФГБОУ ВО Самарский государственный медицинский университет МЗ РФ,Самара,Не указанн,Не указанн,Не указанно,Разрабатка AI программных обеспечений СамГМУ в Python. Реализация алгоритмов машинного обучения. Визуализация данных. Исследование архитектуры нейросетей университета.,""Обладаете знаниями ML и DL. Имеете опыт разработки на Python (знание numpy, pandas, PIL или OpenCV). Обладаете знаниями современных архитектур...""";
"226,Программист,ООО ЭВС,Санкт-Петербург,Не указанн,Не указанн,Не указанно,""Разработка ПО в ОС Linux и Windows. Работа с библиотеками QT, SQLITe. Разработка графических приложений для ПК и мобильных устройств..."",""Высшее образование (профильное, программное обеспечение вычислительной техники и автоматизированных систем). Знание С#, С++, Python. Приветствуется опыт разработки на Delphi, Lasarus.""";
"227,Senior Python Developer,EX CORP.,Санкт-Петербург,Не указанн,Не указанн,Не указанно,""EX CORP. — это экосистема сервисов для соревновательных игр. В нее входят продукты CS.MONEY, SCOPE.GG, XPLAY.GG, BLIX.GG."",Опыт разработки на Python от пяти лет. Опыт работы с микросервисами. Понимание принципов ООП и использование их на практике. ";
"228,QA Automation Python,the_covert,Тбилиси,6500,Не указанн,[' USD'],""Разрабатывать/актуализировать авто-тесты, планы тестирования. Взаимодействовать с командой разработки для успешного покрытия приложения автотестами (интеграционное, UI тестирование, API). "",Опыт в авто тестировании около года и более и желание в нем развиваться. Опыт с Python и PyTest/Selenium. ";
"229,Бекэнд разработчик Python,ФБУ РОСТЕСТ-МОСКВА,Москва,120000,Не указанн,[' руб.'],""Доработки, поддержание и оптимизация web-приложения для автоматизации работы с клиентами. Интеграции с внешними источниками, разработка API. Рефакторинг и поддержание..."",""Опыт в разработке от одного года, умение программировать не менее 2-х лет. Продвинутое знание Python < 3.7, Django (Django...""";
230,Разработчик Python,Тинькофф,Алматы,Не указанн,Не указанн,Не указанно,Проектирование компонентов систем. Организация процесса разработки. Написание и ревью кода. Наставление менее опытных коллег.,Отличное знание Python 3 и опыт промышленной разработки на Python от трех лет. Опыт многопоточного и асинхронного программирования. ;
"231,Старший инженер-программист (Python)/Senior Python developer,YADRO,Нижний Новгород,Не указанн,Не указанн,Не указанно,""Разработкой web-проектов и цифровых сервисов на python, в основном используем django. Интеграцией с различными внутренними системами. Поддержкой CI/CD. "",Опыт разработки на Python не менее 2ух лет (python 3.5+). Опыт работы с Django framework/Flask. ";
"232,Machine Learning Engineer,ООО ВЭБ Технологии,""Минск, Молодежная"",Не указанн,Не указанн,Не указанно,Implement algorithmic solutions for optimization and constraint satisfaction problems (NDA project - we will tell you more at the interview). ,""Good knowledge in Python programming language: numpy, scipy";" basic machine-learning frameworks: PyTorch, TensorFlow, or equivalent. Knowledge of the basic..."""
"233,Программист Python,ПАО МТС Банк. IT,""Москва, ЗИЛ и еще 2 "",Не указанн,Не указанн,Не указанно,""Описание проекта. Реализация задач по разработке DAG, участие в их тестировании, разработке метрик мониторинга, описании технической реализации, отладке, выводе на..."",Требования к соискателю не указанны";
234,Разработчик Python,Тинькофф,Астана,Не указанн,Не указанн,Не указанно,Проектирование компонентов систем. Организация процесса разработки. Написание и ревью кода. Наставление менее опытных коллег.,Отличное знание Python 3 и опыт промышленной разработки на Python от трех лет. Опыт многопоточного и асинхронного программирования. ;
"235,Разработчик Python (Senior),""билайн: ИТ, Data, Digital"",Москва,Не указанн,Не указанн,Не указанно,""Участие в разработке Личных кабинетов в роли бэк-енд разработчика (разработка бэк-енд сервисов, интеграция с фронт-ендом и внешними..."",""Опыт коммерческой веб-разработки от 3-х лет. Уверенное владение: Python, PostgreSQL (без/c ORM) и одним из фреймворков - Django...""";
"236,Python разработчик,ООО Альгимед Трейд,Минск,Не указанн,Не указанн,Не указанно,Написание и поддержание кода для скачивания и актуализации рыночной информации. Расчёт триггеров для открытия и закрытия позиций. Управление демо и...,""Отличные знания алгоритмов и структур данных, SQL. Знание языка Python, умение работать с внешними API. Опыт коммерческой разработки на Phyton...""";
"237,Python TeamLead/Руководитель группы разработки Backend,ООО Московская академия финансового консультирования,Москва,Не указанн,Не указанн,Не указанно,""Управлять командой backend-разработки. Менторить менее опытных специалистов. Разрабатывать новую функциональность для продуктов. Стабилизировать кодовую базу - писать тесты, править баги. "",...в языке Python и можешь работать с микросервисной архитектурой. Имеешь опыт настройки среды Linux / Unix с помощью инструментов Python. ";
"238,""Программист Python (ML, Machine learning, PyTorch) офис"",Авиакомпания AZUR air (ООО АЗУР эйр),""Москва, Павелецкая"",Не указанн,Не указанн,Не указанно,Оптимизируем маршрутную сеть. Работаем над повышением качества обслуживания пассажиров. Совершенствуем пассажирские сервисы. Продвигаем дополнительные услуги. Разрабатывает и/или модифицирует ПО...,""ML, Machine learning, Py Torch, Tensorflow, Keras. Язык программирования Python. Знание реляционных БД. Умение работать с системами контроля версий (git). """;
239,Middle/Senior Python Developer,FunBox,Москва,Не указанн,Не указанн,Не указанно,Общение между сервисами REST и очереди. - Celery и arq для асинхронных/запланированных задач. - Изоляция окружения с Docker. - Инструменты для мониторинга...,Отличное знание Python. - Опыт построения распределенных проектов на Django/Flask/FastAPI. - Опыт проектирования API (REST/GRPC/etc). - Понимание принципов и...;
"240,Разработчик Python,""Балтийский лизинг, группа компаний"",""Санкт-Петербург, Балтийская"",Не указанн,Не указанн,Не указанно,""Проектирование и разработка ИС. - Участие в крупных долгосрочных проектах по внедрению, разработке или развитию ИС."",Опыт разработки с использованием Python от 1 года. - Понимание принципов клиент-серверного взаимодействия. - Опыт работы с git. - Опыт работы с...";
241,Разработчик Odoo (Python),ООО ДЖИ БИ СИ ТИМ,Санкт-Петербург,Не указанн,Не указанн,Не указанно,Разработка CRM системы на платформе Odoo.,...на Python. Опыт работы с CRM-системой Odoo - от года. Знания СУБД PostgreSQL. Опыт работы с django или другим python...;
"242,Репетитор по программированию (Рython) для 5-11 классов,ООО Онлайн-школа Фоксфорд,Москва,40000,100000,[' руб.'],""Проводить онлайн-занятия с учениками по своим материалам или готовым материалам школы, помогая ученикам достигать поставленных целей. Давать обратную связь..."",Опыт педагогической деятельности от 1 года. Знание языка программирования Python (знание дополнительных языков будет преимуществом). Знание современных методик преподавания. ";
"243,Junior/Middle DevOps Engineer,АО НИИАС,""Санкт-Петербург, Московские ворота"",100000,100000,[' руб.'],Взаимодействие с разработчиками в части отладки ПО на языках C++ и Python. Автоматизация рабочих процессов посредством написания скриптов на Python...,""Наличие опыта работы с Linux. Опыт программирования на языках: Python, Go, bash. Базовые представления о работе веб-сервисов и протоколов...""";
244,Python разработчик,Ростелеком - Центры обработки данных,Москва,Не указанн,Не указанн,Не указанно,Участвовать в разработке продуктов компании на языке программирования - Python. Разрабатывать и поддерживать интеграции со сторонними API. Взаимодействовать с командой аналитиков...,Опыт коммерческой разработки на Python от 3х лет. Опыт разработки REAT API на каком-либо из мини-фреймворков (Flask...;
245,Разработчик Python,Тинькофф,Саратов,Не указанн,Не указанн,Не указанно,Проектирование компонентов систем. Организация процесса разработки. Написание и ревью кода. Наставление менее опытных коллег.,Отличное знание Python 3 и опыт промышленной разработки на Python от трех лет. Опыт многопоточного и асинхронного программирования. ;
"246,Исследователь/математик-аналитик,CityAir,Новосибирск,Не указанн,Не указанн,Не указанно,Разработка моделей и алгоритмов для обработки сигнала от газовых сенсоров. Разработка алгоритмов нахождения областей в массивах данных с разной степенью...,""Знание Python. Знание подходов машинного обучения. Техническая грамотность, ответственность. Наличие портфолио/рекомендаций. Опыт работы с регрессионными моделями.""";
"247,Python-разработчик,ООО Ред Софт,Москва,Не указанн,Не указанн,Не указанно,""Участие в разработке бэкенда веб-приложений на Django. Проверка, поддержка собственного кода, написание сопроводительной документации. Участие в планировании и обсуждении..."",Уверенные знания языка Python. Опыт работы с фреймворком Django и DRF. Умение проектировать системы ориентированные на удобство front-end. ";
"248,QA Engineer (Python + pytest),EXANTE,Тбилиси,Не указанн,Не указанн,Не указанно,формализация тестовой базы в TMS (Qase). - заведение баг-репортов (Jira). - разработка и актуализация комплекса автотестов (в перспективе). - язык программирования: Python...,""QA инженер с опытом как ручного, так и автоматизированного тестирования (фронт+бэк+дата тестирование). Умение работать в bash и базами данных. """;
